ID;Name;Energie, Kalorien (kcal);Fett, total (g);Kohlenhydrate, verfügbar (g);Protein (g);Bezugseinheit;Kategorie;Dichte;gesättigte Fettsäuren;Zucker;NutriScore-Wert
119;Kokosnussmilch;214;21,3;3,1;2,4;pro 100g essbarer Anteil;Nüsse, Samen und Ölfrüchte;;;;
120;Konfitüre;246;0,5;58,7;0,5;pro 100g essbarer Anteil;Süssigkeiten/Konfitüren und süsse Brotaufstriche;1,4;0,05;58,7;10
121;Kopfsalat, roh;14;0,2;1,1;1,3;pro 100g essbarer Anteil;Gemüse/Gemüse frisch;;;;
122;Kürbis, roh;28;0,1;4,6;1,1;pro 100g essbarer Anteil;Gemüse/Gemüse frisch;;;;
123;Kürbiskerne;615;49,1;4,7;35,6;pro 100g essbarer Anteil;Nüsse, Samen und Ölfrüchte;;;;
124;Lachs, geräuchert;167;8,2;0;23,2;pro 100g essbarer Anteil;Fisch/Meeresfische;;;;
125;Latte macchiato, ungezuckert;47;2,8;3,2;2,2;pro 100 ml;Milch und Milchprodukte/Milch- und Joghurtgetränke/Alkoholfreie Getränke/Kaffee;0,88;;;
126;Lebkuchen mit Schokoladeüberzug;444;18,9;60,2;6,5;pro 100g essbarer Anteil;Süssigkeiten/Sonstige süsse Backwaren;;;;
127;Linse, geschält, gekocht (ohne Zugabe von Fett und Salz);134;0,6;19;11;pro 100g essbarer Anteil;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Hülsenfrüchte;;;;
128;Lyoner;244;21,8;0,5;11,5;pro 100g essbarer Anteil;Fleisch- und Wurstwaren/Brühwurstware;;;;
129;Mais, roh;93;1,2;15,7;3,3;pro 100g essbarer Anteil;Gemüse/Gemüse frisch;;0,2;3,4;-5
130;Mandarine, roh;47;0,2;9,2;0,8;pro 100g essbarer Anteil;Früchte/Früchte frisch;;0,01;8,6;-5
131;Mandel;624;52,1;7,8;25,6;pro 100g essbarer Anteil;Nüsse, Samen und Ölfrüchte;;4,1;6,6;-3
132;Mandel, geröstet, gesalzen;649;55,2;7,2;25,6;pro 100g essbarer Anteil;Salzige Snacks/Gesalzene Nüsse, Samen, Kerne;;;;
133;Mango, roh;68;0,6;14,3;0,6;pro 100g essbarer Anteil;Früchte/Früchte frisch;;;;
134;Mangold, roh;23;0,2;2,7;2,1;pro 100g essbarer Anteil;Gemüse/Gemüse frisch;;;;
135;Margarine, 35 - 40 % Fett;357;39;1,1;0,3;pro 100g essbarer Anteil;Fette und Öle/Fette/Fette und Öle/Fette;;;;
136;Marmorkuchen;356;17,1;42,6;7,4;pro 100g essbarer Anteil;Süssigkeiten/Kuchen, Torten und Cake;;;;
137;Marzipan;474;17,6;68,6;8;pro 100g essbarer Anteil;Süssigkeiten/Sonstige Süssigkeiten;;;;
